name,language,stars,forks,open_issues,size_kb,has_wiki,created_at,age_days
public-apis,Python,442208,48454,1415,5888,0,2016-03-20 23:49:42+00:00,3740
free-programming-books,Python,390420,66440,79,21413,0,2013-10-11 06:50:37+00:00,4632
system-design-primer,Python,353564,56767,551,11277,1,2017-02-26 16:15:28+00:00,3398
awesome-python,Python,303405,28106,18,5728,0,2014-06-27 21:00:06+00:00,4372
Python,Python,222020,50764,954,16472,1,2016-07-16 09:44:01+00:00,3623
hermes-agent,Python,196033,34474,21539,347453,1,2025-07-22 22:22:28+00:00,329
AutoGPT,Python,184998,46136,440,619625,1,2023-03-16 09:21:07+00:00,1189
yt-dlp,Python,171160,14430,2544,60999,1,2020-10-26 04:22:55+00:00,2060
stable-diffusion-webui,Python,163770,30376,2491,36552,1,2022-08-22 14:05:26+00:00,1395
HelloGitHub,Python,161753,12187,442,8987,0,2016-05-04 06:24:11+00:00,3696
transformers,Python,161670,33536,2437,514460,1,2018-10-29 13:56:00+00:00,2788
markitdown,Python,155120,10760,852,4285,1,2024-11-13 19:56:40+00:00,580
skills,Python,152091,17930,968,3942,0,2025-09-22 15:53:31+00:00,268
langflow,Python,149790,9287,967,1353842,1,2023-02-08 22:28:03+00:00,1224
open-webui,Python,142010,20409,409,376632,1,2023-10-06 22:08:27+00:00,984
youtube-dl,Python,140522,10677,4124,65510,0,2010-10-31 14:35:07+00:00,5708
langchain,Python,139563,23126,423,574489,0,2022-10-17 02:58:36+00:00,1339
claude-code,Python,132999,21511,8949,28587,0,2025-02-22 17:41:21+00:00,480
ComfyUI,Python,117383,13728,4129,90952,1,2023-01-17 03:15:56+00:00,1247
awesome-llm-apps,Python,114856,17040,12,209258,1,2024-04-29 05:30:25+00:00,779
spec-kit,Python,113174,9985,385,9728,0,2025-08-21 22:54:31+00:00,299
DeepSeek-V3,Python,103753,16734,256,1768,0,2024-12-26 09:52:40+00:00,538
whisper,Python,102927,12553,128,4132,0,2022-09-16 20:02:54+00:00,1369
pytorch,Python,100832,28035,18344,1423208,1,2016-08-13 05:26:41+00:00,3595
browser-use,Python,99295,11087,307,33071,0,2024-10-31 16:00:56+00:00,594
fastapi,Python,99288,9445,91,51367,0,2018-12-08 08:21:47+00:00,2748
thefuck,Python,97360,3949,453,4043,1,2015-04-08 15:08:04+00:00,4088
Deep-Live-Cam,Python,93906,13695,59,156145,1,2023-09-24 13:19:31+00:00,997
ui-ux-pro-max-skill,Python,93015,9727,193,3949,0,2025-11-30 11:36:31+00:00,199
MoneyPrinterTurbo,Python,89303,12833,32,533285,1,2024-03-11 02:57:34+00:00,828
django,Python,87866,33861,450,280620,0,2012-04-28 02:47:18+00:00,5163
core,Python,87779,37694,3355,839227,0,2013-09-17 07:29:48+00:00,4656
manim,Python,87686,7317,494,76625,1,2015-03-22 18:50:58+00:00,4104
autoresearch,Python,87344,12644,194,530,1,2026-03-06 22:00:43+00:00,102
TradingAgents,Python,86916,16798,307,4999,1,2024-12-28 03:31:08+00:00,536
sherlock,Python,85128,9949,292,18607,1,2018-12-24 14:30:48+00:00,2732
vllm,Python,83180,18155,5406,223305,0,2023-02-09 11:23:20+00:00,1224
ragflow,Python,83023,9596,3053,129371,0,2023-12-12 06:13:13+00:00,918
devops-exercises,Python,82796,19558,47,8007,1,2019-10-03 17:31:21+00:00,2449
PaddleOCR,Python,82793,10810,235,1953122,0,2020-05-08 10:38:16+00:00,2231
funNLP,Python,81323,15241,49,174188,1,2018-08-21 11:20:39+00:00,2857
PayloadsAllTheThings,Python,78476,17093,29,23260,0,2016-10-18 07:29:07+00:00,3529
d2l-zh,Python,78403,12272,130,316965,0,2017-08-23 04:40:24+00:00,3220
models,Python,77664,45026,1290,659842,1,2016-02-05 01:15:20+00:00,3785
hackingtool,Python,77571,8794,109,2486,1,2020-04-11 09:21:31+00:00,2258
OpenHands,Python,77538,9855,334,342738,1,2024-03-13 03:33:31+00:00,826
cpython,Python,73260,34744,9300,833872,0,2017-02-10 19:23:51+00:00,3413
screenshot-to-code,Python,72941,8981,122,10265,1,2023-11-14 17:53:32+00:00,946
odysseus,Python,72928,9344,1315,31900,0,2026-05-31 14:05:51+00:00,17
awesome-machine-learning,Python,72892,15489,7,2685,0,2014-07-15 19:11:19+00:00,4354
LlamaFactory,Python,72259,8843,1050,13485,0,2023-05-28 10:09:12+00:00,1116
flask,Python,71644,16880,4,12008,0,2010-04-06 11:11:59+00:00,5916
deer-flow,Python,71418,9683,953,38480,0,2025-05-07 02:50:19+00:00,406
gpt_academic,Python,70896,8363,327,72756,1,2023-03-20 09:05:13+00:00,1185
OpenBB,Python,69321,6986,74,2432666,0,2020-12-20 10:46:38+00:00,2005
ansible,Python,68972,24096,779,265177,0,2012-03-06 14:58:02+00:00,5216
MetaGPT,Python,68861,8806,130,184037,1,2023-06-30 09:04:55+00:00,1083
crawl4ai,Python,68743,7018,101,150701,1,2024-05-09 09:48:50+00:00,769
graphify,Python,68612,6930,357,4393,1,2026-04-03 15:49:07+00:00,75
MinerU,Python,67881,5714,25,155114,0,2024-02-29 08:52:34+00:00,839
learn-claude-code,Python,67205,10921,74,1709,1,2025-06-29 15:34:15+00:00,353
annotated_deep_learning_paper_implementations,Python,66947,6708,32,156370,1,2020-08-25 02:29:34+00:00,2122
unsloth,Python,66700,5987,1201,123253,0,2023-11-29 16:50:09+00:00,931
MiroFish,Python,66683,10396,321,16526,1,2025-11-26 04:23:02+00:00,203
scikit-learn,Python,66358,27071,2084,186098,1,2010-08-17 09:43:38+00:00,5783
gpt4free,Python,66338,13573,2,171614,1,2023-03-29 17:00:43+00:00,1176
30-Days-Of-Python,Python,65281,12243,145,30842,1,2019-11-19 17:24:16+00:00,2402
localstack,Python,65060,4739,0,57561,0,2016-10-25 23:48:03+00:00,3521
awesome-claude-skills,Python,64977,7198,827,4519,1,2025-10-17 07:15:01+00:00,243
Scrapling,Python,64584,6330,9,8737,1,2024-10-13 20:29:53+00:00,611
keras,Python,64094,19735,193,53896,1,2015-03-28 00:35:42+00:00,4099
pathway,Python,62944,1676,39,145264,0,2022-11-27 13:01:14+00:00,1298
scrapy,Python,62296,11658,616,30542,1,2010-02-22 02:01:14+00:00,5959
docling,Python,61748,4318,927,283380,0,2024-07-09 07:50:26+00:00,708
openpilot,Python,61399,10990,123,1151163,1,2016-11-24 01:33:30+00:00,3492
ai-hedge-fund,Python,60195,10651,142,3360,1,2024-11-29 16:30:01+00:00,565
hello-agents,Python,60031,7383,151,230463,1,2025-09-07 09:50:24+00:00,283
Real-Time-Voice-Cloning,Python,59921,9407,171,369730,1,2019-05-26 08:56:15+00:00,2579
nanoGPT,Python,59783,10315,349,981,1,2022-12-28 00:51:12+00:00,1267
TrendRadar,Python,59563,24683,45,32200,0,2025-04-28 11:42:16+00:00,415
llama,Python,59468,9790,520,1150,0,2023-02-14 09:29:12+00:00,1219
autogen,Python,59040,8906,891,148692,0,2023-08-18 11:43:45+00:00,1034
mem0,Python,58795,6763,332,57634,0,2023-06-20 08:58:36+00:00,1093
GPT-SoVITS,Python,58763,6429,874,15430,1,2024-01-14 18:05:21+00:00,885
ultralytics,Python,58512,11201,308,57908,1,2022-09-11 16:39:45+00:00,1375
yolov5,Python,57532,17464,42,17842,1,2020-05-18 03:45:11+00:00,2221
private-gpt,Python,57280,7611,5,196183,0,2023-05-02 09:15:31+00:00,1142
you-get,Python,56838,9730,384,3538,1,2012-08-20 15:53:36+00:00,5049
rich,Python,56644,2185,352,50570,1,2019-11-10 15:28:09+00:00,2411
OpenManus,Python,56585,9847,526,4472,1,2025-03-06 14:08:14+00:00,468
face_recognition,Python,56510,13700,837,103959,1,2017-03-03 21:52:39+00:00,3392
mempalace,Python,55820,7236,579,21249,0,2026-04-05 01:12:07+00:00,73
faceswap,Python,55289,13364,9,205403,0,2017-12-19 09:44:13+00:00,3102
gpt-engineer,Python,55205,7307,71,20474,0,2023-04-29 12:52:15+00:00,1145
n8n-workflows,Python,55183,7319,29,52538,1,2025-05-14 08:43:59+00:00,399
nanochat,Python,55155,7578,109,1965,0,2025-10-13 13:46:35+00:00,247
requests,Python,54045,9975,229,13552,1,2011-02-13 18:38:17+00:00,5602
crewAI,Python,53802,7527,472,254125,0,2023-10-27 03:26:59+00:00,964
odoo,Python,52472,32847,9778,16111237,1,2014-05-13 15:38:58+00:00,4418
minimind,Python,51901,6677,42,38342,1,2024-07-27 04:34:12+00:00,690
